mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS016	E	   5884	20071024	094543	40.0	17.5	40.6	21.0	181	58	ITALY	G. OF TARANTO, COAST	75	50	W	169	37	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5883	20071024	094542	40.0	17.5	40.5	20.9	181	58	ITALY	G. OF TARANTO, COAST	75	49	W	169	37	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5882	20071024	094532	40.0	17.5	40.1	20.3	181	48	ITALY	G. OF TARANTO, COAST, ISS	75	43	W	168	38	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5881	20071024	094504	39.5	18.5	39.0	18.5	181	35	ITALY	G. OF TARANTO, COAST, ISS	75	 9	N	166	38	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5880	20071024	094430	40.0	18.0	37.7	16.4	182	35	ITALY	G. OF TARANTO, COAST	75	43	NE	163	39	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5879	20071024	094420	38.0	15.5	37.2	15.8	182	35	ITALY	IONIAN S., SICILY, COAST, ISS	75	16	N	162	39	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5878	20071024	094417	38.0	15.5	37.1	15.6	182	35	ITALY	IONIAN S., SICILY, COAST, ISS	75	17	N	162	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5877	20071024	094414	38.0	15.5	37.0	15.4	182	35	ITALY	IONIAN S., SICILY, COAST, ISS	75	18	N	161	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5876	20071024	094410	40.0	17.5	36.8	15.2	182	35	ITALY	G. OF TARANTO, COAST	75	52	NE	161	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5875	20071024	094408	40.0	17.5	36.7	15.1	182	35	ITALY	G. OF TARANTO, COAST	75	53	NE	161	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5874	20071024	094344	39.0	16.5	35.7	13.7	182	35	ITALY	G. OF TARANTO, COAST	75	55	NE	159	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5873	20071024	094341	39.0	16.5	35.6	13.5	182	35	ITALY	G. OF TARANTO, COAST	75	HO	NE	158	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5872	20071024	094339	39.0	16.5	35.5	13.4	182	35	ITALY	G. OF TARANTO, COAST	75	HO	NE	158	40	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5871	20071024	094324	37.5	14.0	34.9	12.5	182	35	SICILY	ENTIRE I., HAZE	50	45	NE	157	41	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5870	20071024	094255	37.5	13.5	33.6	10.9	182	35	SICILY	ENTIRE I., HAZE	50	HO	NE	154	41	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5869	20071024	094252	37.5	13.5	33.5	10.8	182	35	SICILY	ENTIRE I., HAZE	50	HO	NE	154	41	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS016	E	   5868	20071024	094235	32.0	14.5	32.7	9.8	182	35	LIBYA	LIBYAN DES., ESCARP., COAST	10	HO	E	153	42	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
