mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS008	E	   6000	20031114	13____	-35.5	-52.0				80	ATLANTIC OCEAN	PLANKTON BLOOM, SUNGLINT	25	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5999	20031114	13____	-35.5	-52.0				80	ATLANTIC OCEAN	PLANKTON BLOOM, SUNGLINT	25	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5998	20031114	13____	-35.5	-52.0				80	ATLANTIC OCEAN	PLANKTON BLOOM, SUNGLINT	25	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5997	20031114	13____	-35.5	-52.0				80	ATLANTIC OCEAN	PLANKTON BLOOM, SUNGLINT	25	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5996	20031114	13____	-35.5	-52.5				80	ATLANTIC OCEAN	PLANKTON BLOOM	25	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5995	20031114	13____	-35.5	-52.5				80	ATLANTIC OCEAN	PLANKTON BLOOM	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5994	20031114	13____	-35.5	-52.5				80	ATLANTIC OCEAN	PLANKTON BLOOM	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5993	20031114	13____	-35.0	-53.5				80	URUGUAY	CAPE SANTA MARIA, PLANKTON BLOOM	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5992	20031114	13____	-35.0	-53.5				80	URUGUAY	CAPE SANTA MARIA, PLANKTON BLOOM	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS008	E	   5991	20031114	13____	-35.0	-53.5				80	URUGUAY	CAPE CASTILLO, PLANKTON BLOOM	10	LO				Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
