mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS021	E	   6000	20091012	063813	-17.6	139.7	-16.7	138.7	185	120	AUSTRALIA-Q	LEICHHARDT R., ALBERT R., COAST, SED.	10	24	SE	271	29	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5999	20091012	063748	-15.8	136.9	-15.4	137.7	185	155	AUSTRALIA-NT	EDWARD PELLEW GROUP, COAST, R., SED.	25	16	SW	270	30	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5998	20091012	063739	-15.2	135.7	-15.0	137.4	185	200	AUSTRALIA-NT	LIMMEN BIGHT R., COAST, MANGROVES, SED.	25	29	W	270	31	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5997	20091012	063728	-16.0	136.5	-14.4	136.9	185	80	AUSTRALIA-NT	EDWARD PELLEW GROUP, COAST, R., SED.	50	28	S	270	31	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5996	20091012	063715	-13.5	136.0	-13.7	136.4	185	80	AUSTRALIA-NT	BLUE MUD BAY, I. WOODAH, INLETS, ISLANDS	25	 8	W	270	32	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5995	20091012	063633	-12.0	134.9	-11.6	134.8	185	200	AUSTRALIA-NT	C. STEWART, MILINGIMGI I., AIRPORT	10	 8	S	269	33	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5994	20091012	063555	-11.5	132.5	-9.6	133.4	185	80	AUSTRALIA-NT	VAN DIEMEN G., CROKER I., COBOURG PEN.	25	34	S	268	35	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5993	20091012	063056	6.5	121.0	5.8	122.3	184	80	PHILIPPINES	PANGUTARAN GROUP, JOLO GROUP, CORAL	50	26	NW	253	45	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5992	20091012	063035	6.3	120.6	6.9	121.6	184	86	PHILIPPINES	PANGUTARAN GROUP, SULU SEA, CORAL	50	21	SW	252	45	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS021	E	   5991	20091012	063016	6.5	120.5	7.9	120.9	184	80	PHILIPPINES	PANGUTARAN GROUP, SULU SEA, CORAL	25	25	S	251	46	Nikon D3 Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
