mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS003	E	   5997	20010917	132757	36.0	-75.5	38.5	-73.3	206	800	USA-NORTH CAROLINA	BODIE ISLAND, KITTY HAWK	10	44	SW	116	32	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5996	20010918	154155	25.5	-97.0	26.8	-98.1	207	800	MEXICO	GULF OF MEXICO COAST	25	26	SE	115	43	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5995	20010918	154150	25.5	-97.5	27.0	-98.3	207	800	MEXICO	GULF OF MEXICO COAST	25	26	SE	115	43	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5994	20010918	154133	25.5	-97.5	27.8	-99.1	207	800	MEXICO	LAGUNA MADRE	25	39	SE	115	42	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5993	20010918	154128	25.0	-97.5	28.0	-99.3	207	800	MEXICO	LAGUNA MADRE	10	45	SE	115	42	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5992	20010918	154002	29.0	-102.0	31.9	-103.6	207	800	MEXICO	CERRO DE COLORADO	10	44	SE	114	36	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5991	20010918	153951	29.0	-102.0	32.4	-104.2	207	800	MEXICO	CERRO DE COLORADO	10	50	SE	114	36	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5988	20010918	153853	32.5	-106.5	35.0	-107.3	206	800	USA-NEW MEXICO	LAKE LUCERO, WHITE SANDS	10	37	S	113	32	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5987	20010918	153844	33.0	-106.5	35.3	-107.8	206	800	USA-NEW MEXICO	WHITE SANDS, DUNES	10	38	SE	113	32	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5984	20010918	153753	36.0	-109.5	37.5	-110.8	206	800	USA-ARIZONA	CANYON DE CHELLY	10	30	SE	112	28	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5983	20010918	153751	36.0	-109.5	37.5	-110.9	206	800	USA-ARIZONA	CANYON DE CHELLY	10	31	SE	112	28	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5980	20010917	071742	40.5	17.5	40.7	16.9	206	800	ITALY	TARANTO PORT FACILITIES	10	10	E	115	29	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5979	200109__		40.5	-74.0				800	USA-NEW YORK	JAMAICA B.,BENNETT FIELD	10					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5978	200109__		40.5	-74.0				800	USA-NEW YORK	NEW YORK CITY	10					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5977	200109__		41.0	-74.0				800	USA-NEW JERSEY	NEWARK, NEW YORK CITY	10					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5968	200109__		23.0	-76.5				35	BAHAMAS	CLOUDS, ANDROS ISLAND	50					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5967	200109__		23.5	-77.0				35	BAHAMAS	CLOUDS, ANDROS ISLAND	50					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5942	200109__		27.5	-96.5				28	USA-TEXAS	COAST, PADRE ISLAND	50					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5941	200109__		27.0	-98.0				28	USA-TEXAS	PADRE I., LAGUNA MADRE	50					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS003	E	   5940	200109__		26.5	-98.5				28	USA-TEXAS	COAST, LAGUNA MADRE	50					Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
