mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS007	E	   5946	20030526	224623	29.0	-81.5	27.4	-74.7	209	180	USA-FLORIDA	LAKE GEORGE,CAPE CANAVERAL,SUNGLINT	50	HO	W	288	11	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5945	20030526	224622	29.0	-81.5	27.3	-74.7	209	180	USA-FLORIDA	LAKE GEORGE,CAPE CANAVERAL,SUNGLINT	50	HO	W	288	12	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5943	20030526	224619	30.0	-82.0	27.2	-74.9	209	180	USA-FLORIDA	ST. JOHNS R., LAKE GEORGE, SUNGLINT	25	HO	W	288	12	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5942	20030526	224618	30.0	-82.0	27.1	-74.9	209	180	USA-FLORIDA	ST. JOHNS R., LAKE GEORGE, SUNGLINT	25	HO	W	288	12	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5940	20030526	224610	28.5	-81.0	26.7	-75.3	209	180	USA-FLORIDA	KENNEDY SPACE CENTER	50	HO	W	288	12	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5939	20030526	224610	28.5	-81.0	26.7	-75.3	209	180	USA-FLORIDA	KENNEDY SPACE CENTER	50	HO	W	288	12	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5935	20030525	190551	28.5	-16.5	28.6	-11.3	209			LIGHT EARTHOBS		HO	W	291	5	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5934	20030525	190551	28.5	-16.5	28.6	-11.3	209	180	CANARY ISLANDS	TENERIFE, GOMERA, DUST	75	HO	W	291	5	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5933	20030525	190550	28.5	-16.5	28.5	-11.3	209	180	CANARY ISLANDS	TENERIFE, GOMERA, DUST	75	HO	W	291	5	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5929	20030525	190520	28.5	-16.5	27.1	-12.7	209	180	CANARY ISLANDS	TENERIFE ISLAND, DUST, CLOUDS	50	49	W	291	6	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5928	20030525	190510	28.0	-16.5	26.7	-13.2	209	180	CANARY ISLANDS	TENERIFE ISLAND, DUST	25	46	W	291	6	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS007	E	   5927	20030525	190507	28.5	-16.5	26.5	-13.3	209			LIGHT EARTHOBS		47	NW	290	6	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
