mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS015	E	   6000	20070501	181653	35.0	-120.0	35.1	-116.2	180	180	USA-CALIFORNIA	SANTA MARIA, SIERRA MADRE MTS.	10	52	W	131	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5999	20070501	181650	35.0	-120.5	35.0	-116.4	180	180	USA-CALIFORNIA	SANTA MARIA, ORCUTT, LOMPOC	10	54	W	130	62	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5998	20070501	181613	35.0	-120.5	33.4	-118.4	180	180	USA-CALIFORNIA	SANTA MARIA, ORCUTT, DUNES	10	41	NW	124	62	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5997	20070501	181609	34.5	-120.5	33.2	-118.6	180	180	USA-CALIFORNIA	SANTA MARIA, ORCUTT	10	38	NW	124	62	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5996	20070501	213748	44.2	-69.1	42.9	-67.9	175	800	USA-MAINE	ROCKLAND, ROCKPORT, CAMDEN	10	31	NW	273	20	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5995	20070501	213743	44.1	-69.1	43.1	-68.3	175	800	USA-MAINE	ASH I., ROCKLAND, THOMASTON	10	24	NW	273	20	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5994	20070501	213740	44.0	-69.1	43.2	-68.5	175	800	USA-MAINE	SPRUCEHEAD I., ASH I., DIX I.	10	19	NW	272	20	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5993	20070501	213737	44.1	-69.1	43.3	-68.7	175	800	USA-MAINE	CLAM COVE, HOG COVE	10	17	N	272	20	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5992	20070501	213734	44.1	-69.1	43.4	-69.0	175	800	USA-MAINE	ROCKLAND, OWLS HEAD, AIRPORT	10	14	N	272	20	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5991	20070501	213731	44.1	-69.1	43.5	-69.2	175	800	USA-MAINE	ROCKLAND & HARBOR, WAKES	10	12	N	272	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5990	20070501	213728	44.0	-69.1	43.6	-69.4	175	800	USA-MAINE	ANDREW, ASH & SHEEP I.	10	10	NE	272	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5989	20070501	213638	45.0	-73.3	45.3	-73.2	175	800	USA-VERMONT	ROUSES POINT, L. CHAMPLAIN	10	 6	S	268	24	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5988	20070501	213617	44.6	-73.5	45.9	-74.8	175	800	USA-NEW YORK	PLATTSBURG, L. CHAMPLAIN, PARC	25	32	SE	267	25	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5987	20070501	213222	49.9	-97.1	51.0	-96.0	175	800	CANADA-M	WINNIPEG,RED R.,ASSINIBOINE R.	10	28	SW	245	38	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5986	20070501	213220	49.9	-97.2	51.0	-96.2	175	800	CANADA-M	NW. WINNIPEG, RED R., AIRPORT	10	27	SW	245	38	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5985	20070501	213215	49.9	-97.1	51.1	-96.7	175	800	CANADA-M	WINNIPEG,RED R.,ASSINIBOINE R.	10	23	S	244	38	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5984	20070501	181859	38.4	-109.9	40.3	-108.5	179	800	USA-UTAH	CANYONLANDS UPHEAVAL DOME	10	38	SW	152	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5983	20070501	181856	38.4	-109.9	40.1	-108.7	179	800	USA-UTAH	CANYONLANDS UPHEAVAL DOME	10	35	SW	151	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array		<b>Upheaval Dome, Utah:</b><br>Upheaval Dome is a striking geologic structure in the <a href="http://www.nps.gov/cany/naturescience/geologicformations.htm" target="_blank">Canyonlands National Park</a> of southern Utah. Viewed from directly above (and on geologic maps), the alternating rock layers make a nearly circular, 5.5-kilometer- (3.4-mile-) diameter "bull's-eye." The oldest rocks are in the center (Chinle and Moenkopi Formations, with limited exposures of even older rocks), and progressively younger rocks are exposed farther out: Wingate Sandstone, Kayenta Formation, and Navajo Sandstone (in order of decreasing age). This kind of rock formation--a fold in the Earth's crust in which the rocks slope downward from either side of a central point--is called an <i>anticline</i>. If the exposed rock layers form a closed circle at the surface, the anticline is called a <i>dome</i>. It is typical of these formations for the central rocks to be the oldest.<br><br>This photograph of Upheaval Dome was taken by an astronaut onboard the International Space Station. The oblique viewing angle--in other words, not looking straight down--provides a sense of the topography within and around the structure. The dome appears more like an ellipse than a circle due to the oblique viewing perspective. Dark regions in the image are cloud and cliff shadows.<br><br>Scientists propose at least two ideas about how Upheaval Dome formed. Some believe that the dome is a sign of a sub-surface <i>salt dome</i>--a rising plug of relatively low-density salt that caused overlying rock layers to dome up in a circular pattern like a basketball underneath a blanket. The overlying rock layers were uplifted and then eroded, leaving the bull's-eye surface pattern.<br><br>Another hypothesis identifies Upheaval Dome as an impact structure, caused by a meteor striking the Earth approximately 60 million years ago. In this interpretation, the erosion-resistant Navajo and Wingate Sandstones define multiple crater rings, while the Chinle, Moenkopi, and older rocks exposed in the middle of the dome are the central peak of the impact structure. Debate about the origin of Upheaval Dome continues; recent evidence--such as microscale deformations of the rocks and minerals that are consistent with a high-energy impact event--lends support to the impact-structure hypothesis.		CatalogedWithCenterPoint
ISS015	E	   5982	20070501	181855	38.3	-109.9	40.1	-108.8	179	800	USA-UTAH	CANYONLANDS NATIONAL PARK	10	35	SW	151	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5981	20070501	181853	38.4	-109.8	40.0	-108.9	179	800	USA-UTAH	CANYONLANDS NATIONAL PARK	10	32	SW	151	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5980	20070501	181852	38.5	-109.7	40.0	-109.0	179	800	USA-UTAH	POTASH PONDS, COLORADO R.	25	29	S	151	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5979	20070501	181846	38.5	-109.7	39.8	-109.4	179	800	USA-UTAH	POTASH PONDS, COLORADO R.	10	24	S	150	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5978	20070501	181843	38.5	-109.7	39.6	-109.5	179	800	USA-UTAH	POTASH PONDS, COLORADO R.	10	21	S	149	63	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS015	E	   5977	20070501	135408	53.0	4.8	51.8	7.3	176	800	NETHERLANDS	DEN HELDER, MARSDIEP, TEXEL	10	43	W	232	43	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array		ISS015-E-05977 (1 May 2007) --- Den Helder, Netherlands is featured in this image photographed by an Expedition 15 crewmember on the International Space Station. The city and harbor of Den Helder in the northern Netherlands has been the home port of the Dutch Royal Navy for over 175 years. Its favorable location provides access to the North Sea, and has made it an important commercial shipping port in addition to its strategic role. Bright red agricultural fields to the south of Den Helder indicate another noteworthy aspect of the region--commercial farming of tulips and hyacinth. This image is an oblique view--the camera is oriented at an angle relative to "straight down"--of the Den Helder region taken from the space station, which was located to the southeast, near Dulmen, Germany (approximately 225 kilometers away in terms of ground distance) when the image was acquired. In addition to the manmade structures of the Den Helder urban area (reddish gray to gray street grids) and dockyards to the east of the city, several striking geomorphic features are visible. The extensive gray mudflats, with their prominent branching pattern (top right), indicate that this image was acquired at low tide, and suggest the general low elevation of the region. Parallel wave patterns along the mudflats and in the Marsdiep strait are formed as water interacts with the sea bottom between Den Helder and Texel Island during tidal flow. Some ship wakes are also visible. According to scientists, the bright white-gray triangular region at the southern tip of Texel Island (bottom center) is a dune field, consisting mainly of eolian (windborne) sands deposited during the last Ice Age. Subsequent sea level rise and shoreline processes have mobilized and re-deposited these sands into their current configuration -- including a new dune field island to the southwest of Texel (bottom center).<br><br><hr width="50%"><br><br><b>Den Helder, Netherlands:</b><br>The city and harbor of Den Helder in the northern Netherlands has been the home port of the Dutch Royal Navy for over 175 years. The location provides access to the North Sea, which has made it an important commercial and strategic port. Bright red agricultural fields to the south of Den Helder indicate another noteworthy aspect of the region--commercial farming of tulips and hyacinth. This astronaut photograph is an oblique view (an angled, not a "straight down"view) of the Den Helder region taken from the International Space Station (ISS). The ISS was located to the southeast, near Dulmen, Germany, when the image was acquired, about 225 kilometers (140 miles) away in terms of ground distance.<br><br>In addition to the urban structures of the Den Helder area (reddish-gray to gray street grids) and dockyards to the east of the city, several striking natural features are visible. The prominent branching pattern of the extensive gray mudflats (image bottom right) indicate that this image was acquired at low tide, and show the generally low elevation of the region. Parallel wave patterns along the mudflats and in the Marsdiep Strait are formed as water interacts with the sea bottom between Den Helder and Texel Island during tidal flow. (Some ship wakes are also visible.) The bright, white-gray triangular region at the southern tip of Texel Island (image upper left) is a dune field, consisting mainly of eolian (wind-borne) sands deposited during the last ice age. Subsequent sea level rise and shoreline processes have shifted these sands into their current configuration, which includes a new dune field island to the southwest of Texel.<br>		CatalogedWithCenterPoint
ISS015	E	   5976	20070501	135358	53.0	5.4	51.8	6.3	176	800	NETHERLANDS	IJSSELMEER, CAUSEWAY,WADDENZEE	10	27	NW	231	44	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
