mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS002	E	   5886	20010421	130707	-23.5	-47.0	34.7	.7	205	70	BRAZIL	SHUTTLE, RESERVOIR	10	HO	SW	220	62	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5885	20010421	130627	-23.5	-47.0	32.9	-1.4	205	70	BRAZIL	SHUTTLE, SAO PAULO AREA	10	HO	SW	218	65	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5881	20010421	124445	-33.0	-57.0	-31.2	-55.2	204	70	URUGUAY	RIO YI, RIO NEGRO, LAKES	10	37	SW	51	30	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5880	20010421	124315	-36.2	-61.8	-35.1	-60.0	204	70	ARGENTINA	DUNES,LAKES,SHUTTLE	10	32	SW	54	24	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5879	20010421	124220	-38.0	-64.0	-37.4	-63.2	204	70	ARGENTINA	FARMLAND,SHUTTLE	10	16	SW	56	21	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5875	20010421	124100	-41.0	70.0	-40.6	-68.2	205	70	ARGENTINA	PAN-PATAGONIA, SHUTTLE	75	HO	E	59	15	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5872	20010420	230059	-15.5	168.0	-14.9	170.7	205	70	VANUATU	AOBA,MAEWO,PENTECOST I.	50	39	W	43	54	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5871	20010420	225915	-20.5	166.5	-20.0	166.5	205	70	LOYALTY ISLANDS	OUVEA	50	 8	S	44	48	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5806	20010421	124400	-33.9	-58.5	-33.2	-57.5	204	105	ARGENTINA	PARANA RIVER DELTA, SHUTTLE	10	20	SW	52	27	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5805	20010421	124401	-34.0	-58.5	-33.2	-57.5	204	105	ARGENTINA	PARANA DELTA, BUENOS AIRES, SHUTTLE	10	21	SW	52	27	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5787	20010420	204713	33.0	-106.5	1.2	35.8	210	800	USA-NEW MEXICO	RUNWAYS, WHITE SANDS	10	HO	W	317	-72	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5786	20010420	204624	42.0	-70.5	3.7	34.0	210	800	LAND	HILLS, STREAMS	25	HO	W	318	-69	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS002	E	   5785	20010420	184355	42.0	-70.0	41.2	-68.2	206	800	USA-MASSACHUSETTS	CAPE COD	10	30	W	234	49	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
