mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS012	E	   5901	20051029	174720	-31.5	-51.0	-36.5	-49.2	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	25	HO	N	290	46	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5900	20051029	174719	-31.5	-51.0	-36.6	-49.3	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	25	HO	N	291	46	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5899	20051029	174719	-31.5	-51.0	-36.6	-49.3	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	25	HO	N	291	46	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5898	20051029	174717	-32.0	-51.5	-36.7	-49.4	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	50	HO	N	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5897	20051029	174716	-32.0	-51.5	-36.7	-49.5	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	50	HO	N	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5896	20051029	174716	-32.0	-51.5	-36.7	-49.5	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	50	HO	N	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5895	20051029	174714	-32.0	-51.5	-36.8	-49.6	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	50	HO	N	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5894	20051029	174713	-32.0	-51.5	-36.8	-49.7	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	50	HO	N	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5893	20051029	174713	-32.0	-51.5	-36.8	-49.7	190	180	BRAZIL	SARAGONHA I., SED., LAGOON	50	HO	N	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS012	E	   5892	20051029	174711	-32.5	-52.0	-36.9	-49.8	190	180	BRAZIL	COAST, SED., SARAGONHA I.,LAG.	25	HO	NW	291	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
