mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS014	E	   5959	20061018	172414	-47.7	-72.1	-45.5	-70.3	190	400	ARGENTINA	MT. SAN TORENZO, GL., L., SNOW	50	42	SW	336	52	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5958	20061018	172406	-47.7	-72.2	-45.7	-70.9	190	400	ARGENTINA	MT. SAN TORENZO, GL., L., SNOW	50	37	SW	337	52	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5957	20061018	172402	-47.7	-72.0	-45.8	-71.2	190	400	ARGENTINA	L. BELGRANO, MTS., SNOW	75	33	S	338	52	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5955	20061018	154905	-50.4	-73.0	-50.8	-67.6	190	400	ARGENTINA	L. ARGENTINO, TEMPANOS CHAN.	50	HO	W	10	49	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5954	20061018	154903	-50.6	-72.9	-50.8	-67.8	190	400	ARGENTINA	L. ARGENTINO,BRAZO SUR,GLACIER	50	HO	W	10	49	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5953	20061018	154859	-50.4	-73.1	-50.9	-68.2	190	400	ARGENTINA	L. ARGENTINO, TEMPANOS CHAN.	75	HO	W	11	49	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5952	20061018	154856	-50.5	-73.1	-50.9	-68.5	190	400	ARGENTINA	L. ARGENTINO, TEMPANOS CHAN.	50	HO	W	11	49	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5951	20061018	154853	-50.3	-73.0	-50.9	-68.8	190	400	ARGENTINA	L. ARGENTINO, TEMPANOS CHAN.	75	53	W	12	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5950	20061018	154851	-50.3	-72.8	-51.0	-69.0	190	400	ARGENTINA	L. ARGENTINO	75	51	W	12	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5949	20061018	154849	-50.3	-72.6	-51.0	-69.1	190	400	ARGENTINA	L. ARGENTINO, S. SHORE	50	49	W	12	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5948	20061018	154833	-51.3	-73.5	-51.2	-70.7	190	400	CHILE	GLACIERS, FIORDS, ICECAP	25	42	W	15	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5947	20061018	154827	-51.0	-73.7	-51.2	-71.3	190	400	CHILE	GLACIERS, FIORDS,SEDIMENT	25	37	W	15	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5946	20061018	154821	-51.1	-73.7	-51.3	-71.9	190	400	CHILE	GLACIERS, ICEBERGS	25	30	W	16	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5945	20061018	154817	-51.1	-73.7	-51.3	-72.3	190	400	CHILE	FIORDS, GLACIERS	50	24	W	17	48	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5944	20061018	154815	-51.2	-73.7	-51.3	-72.5	190	400	CHILE	FIORDS, GLACIERS	25	21	W	17	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5943	20061018	154811	-51.3	-73.8	-51.4	-72.9	190	400	CHILE	FIORDS, BLANCHE PASS	10	16	W	18	47	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5942	20061018	141556	-52.0	-59.5	-51.7	-55.7	190	180	FALKLAND ISLANDS	FALKLAND SOUND	50	50	W	26	46	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5941	20061018	141554	-52.0	-60.0	-51.7	-55.9	190	180	FALKLAND ISLANDS	FALKLAND SOUND	25	52	W	26	46	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS014	E	   5940	20061018	141551	-52.0	-60.5	-51.8	-56.2	190	180	FALKLAND ISLANDS	QUEEN CHARLOTTE B.	25	54	W	27	45	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
