mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS001	E	   6000	20001229	140051	51.5	.5	51.7	6.0	197	400	UK-ENGLAND	EAST LONDON,THAMES RIVER	10	HO	W	201	22	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5999	20001229	140045	51.5	-.5	51.7	5.4	197	400	UK-ENGLAND	LONDON, HEATHROW AIRPORT	10	HO	W	201	22	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5998	20001229	140015	51.5	.0	51.6	2.4	197	400	UK-ENGLAND	LONDON, THAMES RIVER	10	36	W	201	22	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5997	20001229	140001	51.5	-.5	51.5	1.0	197	180	UK-ENGLAND	LONDON, THAMES RIVER	10	24	W	201	22	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5996	20001229	135948	51.5	.0	51.4	-.3	197	400	UK-ENGLAND	LONDON, THAMES RIVER	10	06	E	201	22	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5990	20001228	132805	51.5	.0	50.1	3.9	199	400	UK-ENGLAND	NE LONDON, SNOW	50	51	W	204	13	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5989	20001228	132738	51.5	.5	49.6	1.4	199	400	UK-ENGLAND	SOUTHEND, FOULNESS POINT	50	32	N	202	15	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5984	20001228	084353	32.5	35.5	33.3	36.5	199	400	ISRAEL	LAKE TIBERIAS	10	21	SW	166	32	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5983	20001228	084337	31.5	35.5	32.6	35.7	199	400	JORDAN	DEAD SEA	10	19	S	165	33	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS001	E	   5982	20001228	084321	32.5	35.0	31.9	34.8	199	400	ISRAEL	HAIFA	10	11	N	164	33	Kodak DCS460 Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
