mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS011	E	   6000	20050513	124013	7.0	24.7	8.5	23.7	192	400	CENTRAL AFRICAN REP.	UPPER CHINKO R. DRAIN.	50	29	SE	290	55	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5999	20050513	124012	6.8	24.6	8.4	23.7	192	400	CENTRAL AFRICAN REP.	CHINKO R. DRAIN.	75	30	SE	290	55	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5998	20050513	124010	6.7	24.6	8.3	23.6	192	400	CENTRAL AFRICAN REP.	CHINKO R. DRAIN.	50	30	SE	291	55	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5997	20050513	124009	7.0	24.3	8.3	23.6	192	400	CENTRAL AFRICAN REP.	CHINKO R., ROCK STRUCTURES	50	25	SE	291	55	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5996	20050513	124008	7.0	24.3	8.2	23.5	192	400	CENTRAL AFRICAN REP.	CHINKO R., ROCK STRUCTURES	50	24	SE	291	55	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5995	20050513	124006	7.1	24.2	8.1	23.5	192	400	CENTRAL AFRICAN REP.	STREAM BEDS	50	21	SE	291	55	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5985	20050512	213749	46.0	-64.7	44.4	-63.1	187	400	CANADA-NB	EST., AGR., ROADS, MONCTON	10	36	NW	278	18	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5984	20050512	213729	45.8	-64.3	43.8	-64.6	187	400	CANADA-NS	AMHERST, UPPER CHIGNECTO B.	10	33	N	277	19	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5983	20050512	213703	43.7	-73.6	42.9	-66.4	187	400	USA-NEW YORK	LAKE GEORGE, GLINT, LAKES, R.	10	HO	W	276	20	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5982	20050512	213700	43.5	-73.7	42.8	-66.7	187	400	USA-NEW YORK	LAKE GEORGE, GLINT, LAKES, R.	10	HO	W	276	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5981	20050512	213659	43.7	-73.6	42.7	-66.7	187	400	USA-NEW YORK	LAKE GEORGE, GLINT, LAKES, R.	10	HO	W	276	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5980	20050512	213650	44.7	-73.2	42.4	-67.4	187	400	USA-VERMONT	LAKE CHAMPLAIN, BURLINGTON	10	HO	W	276	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5979	20050512	213648	44.2	-73.3	42.4	-67.5	187	400	USA-VERMONT	LAKE CHAMPLAIN, BURLINGTON	10	HO	W	276	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5978	20050512	213643	44.2	-73.3	42.2	-67.9	187	400	USA-VERMONT	LOWER L. CHAMPLAIN, GLINT	10	HO	W	276	21	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5977	20050512	213642	44.0	-73.4	42.1	-67.9	187	400	USA-VERMONT	LOWER L. CHAMPLAIN, GLINT	10	HO	W	276	22	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5976	20050512	213603	41.7	-70.8	40.7	-70.6	187	400	USA-MASSACHUSETTS	MARION, BUZZARDS B.	50	18	N	275	24	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5975	20050512	213601	41.8	-70.6	40.6	-70.7	187	400	USA-MASSACHUSETTS	CAPE COD CHANNEL, BUZZARDS B.	10	21	N	275	24	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5974	20050512	213538	40.7	-73.8	39.7	-72.2	187	400	USA-NEW YORK	KENNEDY, FLOYD BENNETT AIRPORT	10	31	NW	274	25	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5973	20050512	213532	40.9	-73.9	39.5	-72.6	187	400	USA-NEW YORK	LA GUARDIA AIRPORT, BRONX	10	32	NW	274	25	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5972	20050512	213530	40.8	-73.9	39.4	-72.7	187	400	USA-NEW YORK	NEW YORK CITY, CENTRAL PARK	10	31	NW	274	25	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5971	20050512	213517	39.0	-76.5	38.9	-73.5	188	400	USA-MARYLAND	ANNAPOLIS, BRIDGES	10	44	W	273	26	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5970	20050512	213503	39.0	-76.5	38.3	-74.4	188	400	USA-MARYLAND	ANNAPOLIS, BRIDGE, SOFT	10	35	W	273	27	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5969	20050512	213448	39.0	-76.4	37.7	-75.3	188	400	USA-MARYLAND	ANNAPOLIS, DOVE PT., BRIDGE	10	29	NW	273	27	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5968	20050512	213438	39.0	-76.4	37.3	-75.9	188	400	USA-MARYLAND	ANNAPOLIS, DOVE PT., BRIDGE	10	29	N	273	28	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5967	20050512	213348	32.1	-81.0	35.2	-78.8	188	400	USA-SOUTH CAROLINA	SAVANNAH CITY & R., MARSH	10	50	SW	272	30	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5966	20050512	213346	32.1	-80.9	35.1	-78.9	188	400	USA-SOUTH CAROLINA	SAVANNAH R. DELTA, MARSH	10	49	SW	272	30	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5965	20050512	213332	32.9	-79.9	34.5	-79.7	188	400	USA-SOUTH CAROLINA	CHARLESTON, COOPER R., BRIDGES	10	27	S	272	31	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5964	20050512	213331	32.8	-79.9	34.5	-79.8	188	400	USA-SOUTH CAROLINA	CHARLESTON, FORT SUMTER	10	28	S	272	31	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
ISS011	E	   5963	20050512	213318	29.9	-81.3	33.9	-80.5	188	400	USA-FLORIDA	ST. AUGUSTINE, MANTANZAS R.	10	52	S	272	32	Kodak DCS760c Electronic Still Camera	3060E: 3060 x 2036 pixel CCD, RGBG array				CatalogedWithCenterPoint
