mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS019	E	   6000	20090409	212020	42.5	-86.2	41.5	-85.4	188	800	USA-MICHIGAN	L. MICHIGAN, MIAMI PARK, AGR.	10	22	NW	251	32	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5999	20090409	212018	42.4	-86.2	41.6	-85.6	188	800	USA-MICHIGAN	SOUTH HAVEN, BLACK R., SHORE	10	18	NW	251	32	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5998	20090409	212017	42.2	-86.3	41.6	-85.7	188	800	USA-MICHIGAN	LAKE MICHIGAN BEACH, ROADS	10	15	NW	251	32	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5997	20090409	212004	42.5	-86.2	42.1	-86.5	188	800	USA-MICHIGAN	L. MICHIGAN, MIAMI PARK, AGR.	10	 9	NE	250	32	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5996	20090409	212003	42.4	-86.3	42.1	-86.6	188	800	USA-MICHIGAN	SOUTH HAVEN, BLACK R., SHORE	10	 8	NE	249	32	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5995	20090409	211952	42.7	-87.8	42.5	-87.4	188	800	USA-WISCONSIN	RACINE, AIRPORT, ROOT R.,SHORE	10	 8	NW	249	33	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5994	20090409	211949	42.7	-87.8	42.6	-87.6	188	800	USA-WISCONSIN	RACINE, AIRPORT, ROOT R.,SHORE	10	 4	NW	248	33	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5993	20090409	211944	42.8	-87.8	42.8	-87.9	188	800	USA-WISCONSIN	LAKE SHORE N. OF RACINE, PLANT	10	 2	E	248	33	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5992	20090409	211837	44.5	-92.3	45.0	-92.9	188	800	USA-WISCONSIN	MISSISSIPPI R. N. OF LAKE CITY	10	14	SE	242	36	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5991	20090409	211826	45.3	-93.2	45.4	-93.8	188	800	USA-MINNESOTA	COON LAKE, AGR., SMALL LAKES	10	11	E	241	36	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5990	20090409	211820	45.6	-93.4	45.6	-94.2	188	800	USA-MINNESOTA	GREEN LAKE, RUM RIVER, AGR.	10	14	E	240	36	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5989	20090409	211805	46.2	-96.6	46.0	-95.4	188	800	USA-NORTH DAKOTA	WAHPETON-BREKENRIDGE, FLOODING	10	21	W	239	37	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter		<b>Red River Floods, North Dakota and Minnesota</b><br><br>When this astronaut photo was captured on April 9, 2009, the Red River was experiencing its second round of spring flooding. (Two weeks earlier, the river had crested at very high levels.) The Red River flows north between North Dakota and Minnesota from the confluence of the Bois de Sioux River (south, image lower right) and the less well drained, meandering Otter Tail River (east, image right). Floodwaters in these two tributaries appear as black shapes against a snowy agricultural landscape that is defined by rectangular fields. The largest flooded areas are low parts of fields (image bottom) along a canalized western tributary of the Wild Rice River, which itself becomes a tributary of the Red River just south of Fargo, North Dakota.<br><br>Wahpeton, North Dakota, and Breckenridge, Minnesota, sit opposite each another on the banks of the Red River, and their city-block patterns stand out as dark gray patches against the snow at image top right. The main runway of the Henry Stern Airport lies angled northwest directly south of Wahpeton, and its 1.3-kilometers (0.8-mile) runway gives a sense of scale to the photo. Access roads to the agricultural fields tend to follow an orthogonal pattern, while larger roads leading to the cities cut across this pattern (image upper left, near Wahpeton). A subtle pattern of drainage ditches and plow lines appears as thin, parallel lines throughout fields in the scene.<br>		CatalogedWithCenterPoint
ISS019	E	   5988	20090409	211718	47.6	-101.3	47.4	-99.2	188	800	USA-NORTH DAKOTA	L. AUDUBON, DAM, L. SAKAKAWEA	10	34	W	234	38	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
ISS019	E	   5987	20090409	211715	47.6	-101.1	47.4	-99.5	188	800	USA-NORTH DAKOTA	LAKE AUDUBON, ICE, AGR., SNOW	10	27	W	233	38	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter				CatalogedWithCenterPoint
